Ship_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Operational_Cost_USD,Cluster
Fish Carrier,Good,15.962042289818918,540.9402194788022,1376.4202801025865,470099.7471868531,0
Fish Carrier,Good,21.42788382410542,2027.885437433521,1694.344122552683,280960.70862947666,0
Bulk Carrier,Critical,18.055694312516472,2940.980609776943,1674.0560940305757,68846.08049631954,2
Tanker,Good,14.488952818191624,1541.616005263132,1602.7553991582415,297388.47912833607,1
Tanker,Critical,23.290970576859745,520.0792590935791,1532.275223689815,33681.75559440063,1
Container Ship,Fair,10.1986619735919,504.4811143783852,378.28538014518256,308742.10699799785,3
Container Ship,Fair,23.036820458752292,1228.1038827325592,150.19837427332664,348531.2487957669,3
Fish Carrier,Fair,13.0400710943843,2012.887747027562,1057.3337152681795,240552.9265188404,0
Tanker,Fair,18.26540637230576,1223.1645641678065,1592.742828050205,133451.0642440506,1
Fish Carrier,Good,24.27463876207628,2041.3466174787836,1487.3717181500615,282347.7956042516,0
Container Ship,Fair,22.89761307150617,2450.57930754869,1229.5661034203802,126959.53245063649,3
Fish Carrier,Fair,19.419071552067702,709.2839931663912,524.8495811117816,311525.59705246735,0
Tanker,Critical,19.089415763654102,1095.2398365567387,1801.174941419045,70720.33393137553,1
Bulk Carrier,Critical,21.61731105917084,2065.651623283483,1940.0107153660333,278975.1088938729,2
Container Ship,Good,16.010102651309822,2523.3901794222284,491.25992203268686,492122.2406321598,3
Bulk Carrier,Critical,12.794516281245894,655.5854160566159,993.388381050516,441678.9643216334,2
Bulk Carrier,Good,19.8368383660978,1630.234356492313,343.4901281954227,215873.54770714545,2
Tanker,Good,22.634369840776596,2212.7051510865867,732.294019581178,253120.42909758707,1
Bulk Carrier,Fair,12.285045197793831,1398.208392657901,317.9834225784308,145272.3986029577,2
Bulk Carrier,Good,22.805706393896838,1238.720947857131,1635.0656045202695,390326.4966270995,2
Tanker,Fair,24.14346044264436,543.3801674245008,1311.1180215461518,131593.852927513,1
Container Ship,Good,20.304865589125072,1763.0069130238526,1794.33911979125,132032.42320286285,3
Tanker,Fair,13.622021384557366,1796.7441655277348,948.2401961078132,59734.95343300945,1
Fish Carrier,Fair,14.861323664408058,709.3117382798814,1598.036965561994,141425.49983130553,0
Bulk Carrier,Fair,23.090767942374427,907.9932403255553,329.76633644047195,477292.6442000416,2
Bulk Carrier,Critical,16.881098558364002,2386.472511435783,281.73023118628885,421598.701852644,2
Fish Carrier,Good,22.97615308671953,2607.6572120051123,185.58221830862692,314472.3287195554,0
Fish Carrier,Good,12.627770382724258,2310.3486768186617,714.5284147135812,70781.89666710666,0
Container Ship,Critical,16.206117896637338,1694.9922066243923,1126.3954654535696,42536.20967989758,3
Fish Carrier,Fair,21.720764117435323,1087.723073124722,1504.2612279541345,325352.1572928887,0
Fish Carrier,Fair,14.233242863189652,2871.340278620325,1864.2006827515042,390041.2377104892,0
Container Ship,Good,13.033223650277815,1880.767737292074,1782.560482786421,62561.431764621404,3
Container Ship,Fair,13.626297314052406,2171.913058121837,1884.7845770502424,150803.17749872396,3
Fish Carrier,Good,24.11177505190057,2085.079555192812,1534.4597905630335,227391.7424275743,0
Container Ship,Fair,18.79723204322154,2522.087160868248,1396.1669797280852,170901.0012795492,3
Container Ship,Good,10.33086383919382,762.0544842316474,738.3471238101583,362368.2613241501,3
Bulk Carrier,Critical,15.534570334578431,2489.8838382742324,1553.6364902099174,407620.9588975847,2
Bulk Carrier,Good,15.190056855245334,1765.8055560621217,603.3969431384868,107624.65064949042,2
Bulk Carrier,Fair,24.608382165882887,1528.226422304626,248.1398364951799,279592.0184799551,2
Container Ship,Good,15.378922383758178,1144.1659752923915,1648.5306462667793,361888.9925009548,3
Tanker,Critical,10.860553477263633,678.1801644537279,1367.9920815844314,224166.4832360188,1
Bulk Carrier,Critical,15.815963651376569,1131.9953920322887,1588.179276369645,49758.20840138348,2
Bulk Carrier,Critical,22.949939628441168,2568.998563163497,582.166633148967,93327.17687407712,2
Container Ship,Fair,24.074835638918927,2397.891603164394,941.271947536091,173623.449374093,3
Fish Carrier,Fair,21.94581257466596,759.2486537525108,763.1567663016623,206866.2387103828,0
Tanker,Critical,21.45526008408496,2290.7193807553613,489.5708571785907,255586.3895261349,1
Tanker,Fair,18.422572427730994,1904.8953482073653,554.3695550737426,194093.86786823443,1
Fish Carrier,Good,20.566539322473886,2351.555053793952,113.8587339602343,340885.04601048015,0
Tanker,Critical,23.660382895894134,2539.650339941837,1989.845754515894,406215.222160617,1
Tanker,Critical,24.757912875175258,2798.159949066523,1677.169305556675,112084.16633277002,1
Bulk Carrier,Fair,21.16316307054549,2204.880949647288,1283.735588550136,48020.96711725576,2
Bulk Carrier,Critical,22.355128936517183,2126.2190960367006,1496.5676078769852,479544.38458485145,2
Tanker,Fair,10.924955564915305,2073.6947282449537,803.8932468788263,297949.6392157521,1
Fish Carrier,Fair,12.068045214677706,1625.000689820786,203.50451259723457,228088.59674265605,0
Tanker,Critical,12.837382586744049,2212.3856125031853,1045.7778731553658,115966.71482022601,1
Container Ship,Critical,21.54155341683892,1097.8258166229484,507.092459008814,445286.5585587327,3
Container Ship,Good,22.390744275780516,1360.1954164997865,1889.5566805368585,278292.43779026845,3
Fish Carrier,Critical,18.75394507154269,534.7910390678553,1809.7699340727625,126607.2718299176,0
Fish Carrier,Critical,22.53121816041339,994.0679081910376,1324.9184855856663,488014.68392385537,0
Bulk Carrier,Good,23.2311354536184,990.9944294934337,872.2901532445106,270078.93090564234,2
Bulk Carrier,Good,23.162549410770104,1031.033142147033,87.19641014835611,412974.3854653772,2
Tanker,Good,19.37909031926465,2371.6460822183,790.3400978788269,441936.2653180856,1
Bulk Carrier,Critical,22.751649189299822,884.8435545219025,203.5530049916747,307688.79930764856,2
Container Ship,Good,22.73430994661736,2261.898651215809,1096.490897521718,73185.47238979567,3
Container Ship,Fair,17.948547375737707,1681.5346010401354,350.4683015203757,283127.99503778963,3
Container Ship,Fair,24.381030886384284,1309.6089636591869,842.6011285824479,80992.02148650412,3
Container Ship,Critical,22.05902146709268,2029.9785655867363,1088.0447889274103,47178.504145656276,3
Bulk Carrier,Fair,19.016056743699306,1085.758391882442,294.63756162861864,385207.54828500544,2
Tanker,Critical,18.08164831243326,585.1951395152323,72.61347968170173,157178.50998359922,1
Container Ship,Critical,20.707884502158965,2647.540642102055,190.36586469796566,311860.0250620617,3
Container Ship,Critical,11.285913444426535,847.7019451349955,1795.9979644704958,407743.5141981927,3
Tanker,Critical,22.720330723656527,869.2677900888766,210.74790623482704,275649.9712448034,1
Bulk Carrier,Fair,13.855713339227208,1290.3930003511932,1531.7190287158303,426874.23128877743,2
Container Ship,Critical,22.021651014860204,1682.8123254615134,658.6476200133335,299913.6351065851,3
Tanker,Good,15.085371163692344,2184.9139639257123,1867.4728329368893,370466.59223709645,1
Tanker,Critical,22.66312886320067,1657.780738941273,1029.7295663534885,260549.7266504285,1
Fish Carrier,Critical,20.118103536332463,2650.936312326542,1376.3057412548058,197494.31249448916,0
Tanker,Fair,11.211368244702545,1892.0775965388384,173.85468144963443,171501.06070882356,1
Fish Carrier,Fair,21.610774225334644,1184.2806339384929,372.2773807060337,12427.6378648213,0
Fish Carrier,Critical,11.36410674150416,2499.9372951701694,1133.16427638594,243780.25166545511,0
Container Ship,Good,17.230818320639823,829.6163912890756,824.7691330792655,50516.7315078438,3
Container Ship,Critical,17.56599562642772,2813.322842070823,1923.7801740499594,402459.2865343798,3
Tanker,Good,23.607546262596085,1537.1550082277506,307.06780667315684,72545.92010597952,1
Fish Carrier,Fair,21.03046260049329,1934.0625440189408,1033.814919227436,273943.3563202733,0
Tanker,Critical,14.434172842041407,1432.6218478656606,143.18551182936972,161981.75254603408,1
Container Ship,Critical,19.257277783182843,940.2118700768826,1288.5152922656507,133184.29430911253,3
Fish Carrier,Critical,23.857162045765357,1779.5723490183243,1744.3457070015847,204876.37848215824,0
Container Ship,Good,13.762472846494964,2693.6341781744354,76.81853583183579,181705.461175,3
Tanker,Critical,19.296927734951016,818.2715961195377,1781.6483466228538,196538.9721661422,1
Tanker,Good,19.87478612951981,892.0089504180588,1364.9278913411497,103476.27199785228,1
Tanker,Critical,17.45313586306862,2521.816659319792,1955.862334252124,313967.15956127207,1
Fish Carrier,Critical,17.30228227178489,1471.8151459606634,143.36082706132402,35043.768449361174,0
Fish Carrier,Critical,22.85310369520564,893.4271201223166,1822.020106943603,438530.9678753678,0
Bulk Carrier,Good,10.13614758600409,1413.987662899329,492.3348924090858,427354.1930066745,2
Tanker,Fair,18.06087432266928,2894.6493175731785,819.5424200075879,386014.1365236508,1
Tanker,Fair,12.354330714149622,2281.872135726888,701.392059526955,389626.2079786934,1
Container Ship,Critical,15.936367625139248,1622.476305949813,1471.943989715755,302164.029218116,3
Tanker,Critical,24.11753816236322,866.9225910353885,599.2953765121918,205599.94389531028,1
Fish Carrier,Fair,16.891821962431344,609.4533253932789,1653.6970133911968,408389.2546524236,0
Bulk Carrier,Fair,23.02676383276161,2624.9314916310127,1607.7485621759663,37419.92782160378,2
Container Ship,Critical,14.654169968062666,1313.7168194920737,1000.2327361586558,209711.29452227583,3
Tanker,Good,22.55049659301757,638.2856314030071,444.9077101141045,217063.672052739,1
Fish Carrier,Good,11.52588571703331,1895.9180198524664,1391.9366121131222,196117.65893178625,0
Container Ship,Critical,10.564086375965562,2328.2279129554427,68.08607023486616,330241.8982141636,3
Bulk Carrier,Critical,21.27536328364927,2990.7949783261106,201.2493835693864,325233.1523105846,2
Tanker,Fair,11.280037858645777,1554.288936594597,170.9301121680743,24831.51998344544,1
Container Ship,Fair,11.50912437919202,712.0044802107586,1417.081028811442,385251.7816092934,3
Bulk Carrier,Fair,16.060107430874503,580.8206132035564,817.4420347757251,227052.72529636312,2
Fish Carrier,Good,11.825531941743249,1131.312598241126,601.8473300403759,43073.93498289873,0
Container Ship,Critical,24.870946137226927,666.6610394365032,268.37372414106983,415897.45877783454,3
Tanker,Critical,22.16898544679998,2338.607915169251,1024.4302702344585,416985.1334285162,1
Bulk Carrier,Fair,10.051668649487908,2403.9186610757824,779.0734063876254,155668.68364364203,2
Fish Carrier,Fair,17.87311698676644,782.8302521319737,431.47820597143095,461947.15243955,0
Container Ship,Good,11.759008669620776,1400.6177556240752,630.725421793518,361435.6553486338,3
Fish Carrier,Critical,18.737858223674063,1139.8073951216538,409.5564617600951,280237.1558141756,0
Bulk Carrier,Fair,24.317798804896515,1895.169781786336,1466.597696919417,97009.65680162335,2
Container Ship,Critical,18.19935154972382,1777.797179058535,634.6990275348555,85976.90685727933,3
Tanker,Good,21.636153858822382,2645.442710773264,747.0155177133068,338203.15149395185,1
Container Ship,Good,12.41343850096105,1629.2877031744192,162.8488949566031,363637.8507699032,3
Container Ship,Good,14.51956330056106,727.4353984506727,1531.943003239085,327469.97094313626,3
Container Ship,Fair,20.51474479326361,1240.0738095476668,1463.46201785871,399780.5344644058,3
Container Ship,Fair,11.146405599933516,663.0705376843848,1674.7222791081751,304325.45716366806,3
Fish Carrier,Fair,22.39552874710797,2850.990306766665,1327.006004000104,463203.6913071597,0
Bulk Carrier,Critical,18.7801182164353,815.6818843155675,599.0109630871578,321492.49700646603,2
Container Ship,Good,13.062220520554536,998.2115704496133,977.7782866085396,464687.2398877256,3
Tanker,Critical,24.662488058461456,2330.0596392705997,1453.1875854632376,112767.02404745563,1
Tanker,Fair,16.375372774847907,2638.238853267095,710.5814411897295,395843.3294429145,1
Tanker,Fair,18.34634576402925,1220.9464029379865,570.240320024709,330399.6462822659,1
Tanker,Critical,18.88183975101167,911.169953908013,406.89787306129915,357272.2415193481,1
Fish Carrier,Critical,15.078960779904662,1751.1251091410795,1566.2892831070094,454268.3837872459,0
Bulk Carrier,Fair,20.260429220715757,1736.8883487634228,1905.153388600581,340819.6826289353,2
Bulk Carrier,Good,13.566888998226908,842.4207928340923,1478.097555413333,173412.3850477123,2
Bulk Carrier,Fair,12.077621919484413,2120.175380163111,694.4393158150211,440258.28238011803,2
Bulk Carrier,Fair,22.24647745615789,680.8539742246812,696.9141951103959,284895.1786983423,2
Fish Carrier,Critical,22.627385055475703,2422.0680061048174,1135.2682108277754,353484.9818271917,0
Container Ship,Critical,20.584428860215525,860.2094660768671,1577.80435232208,156732.28230029886,3
Container Ship,Fair,14.38716117156259,2809.618962352385,461.23369602207583,261398.09502621164,3
Bulk Carrier,Critical,20.493997246649,2876.758444661555,358.93452183719785,21419.478917184548,2
Fish Carrier,Good,17.813922236869445,2993.2264777684745,351.9758545751588,88420.28634007776,0
Bulk Carrier,Critical,20.913400097544688,1045.699844996902,248.67441701535586,366034.1541053962,2
Tanker,Good,17.397082299986714,1271.094841252816,579.9752293879335,372514.73024172656,1
Bulk Carrier,Critical,14.761123517119412,2962.4353831258422,1475.650436053245,209579.23243641143,2
Bulk Carrier,Critical,20.55080822656709,1467.0108653777556,1054.774584893741,100238.84575091992,2
Bulk Carrier,Critical,17.840552614918355,1441.3593843384429,991.0346380989204,425421.30698375433,2
Tanker,Good,14.156015556024943,2058.2112604207264,1102.1583371333195,364948.2027787038,1
Fish Carrier,Good,13.93964690461294,2928.9597007053776,1494.3153840914758,46367.26138097572,0
Tanker,Fair,16.740151129080118,2396.6385451244937,891.7484215785981,70319.1935598065,1
Fish Carrier,Good,11.966200477065035,2371.0740196725155,551.5241240493467,234643.26084902664,0
Tanker,Critical,24.161609234983324,1088.3051250869376,688.4746076488299,455745.5138941175,1
Fish Carrier,Good,10.68182119424876,2489.60676337133,902.366139837881,480979.672364861,0
Bulk Carrier,Critical,13.209630386715686,1528.4347425697729,123.11413792419523,145600.11764159275,2
Bulk Carrier,Critical,21.1995294937298,1464.1172737337652,804.6835304189943,384714.60268535867,2
Bulk Carrier,Good,10.40342733237961,2081.859253566497,1711.642931629948,183297.4945724741,2
Bulk Carrier,Fair,23.821190249780727,730.400031301913,1760.5705856200575,239643.7366840345,2
Fish Carrier,Critical,23.949113851677183,2915.4407623603547,758.1107343792058,471464.06843259226,0
Bulk Carrier,Good,10.699535536033585,928.5279750697532,1899.8772924965876,342498.8016586221,2
Bulk Carrier,Critical,24.4180265914611,1510.544266931961,968.5422113904536,410382.2925601073,2
Fish Carrier,Fair,14.744071385272836,1846.0898159506432,1586.1105232986793,187423.2976557159,0
Tanker,Good,10.189168636968123,2585.849623663004,692.0631208146759,338954.59990236873,1
Container Ship,Fair,18.69640948031676,542.9950926494018,89.98699785645249,159108.1894349447,3
Container Ship,Critical,11.47550356228786,1889.103781922713,1085.5696626198933,322523.48561480554,3
Tanker,Critical,15.438502014019925,654.163572417415,1143.6927997898813,146747.18968713895,1
Fish Carrier,Good,13.01344995907204,2613.1450787668955,1705.8707018302866,304000.40120065137,0
Fish Carrier,Good,23.744104004129237,1925.0860737505016,124.81230719460916,161468.25135509128,0
Fish Carrier,Good,24.997043345891857,1644.3030147759282,1576.451140557777,164426.3188859837,0
Container Ship,Fair,15.480292722573571,886.4263763187037,272.2913032442276,60363.668822462554,3
Tanker,Fair,13.955502957478622,2143.305697541926,558.3285567301946,406011.44526071387,1
Container Ship,Fair,10.606897294429794,1481.4107606615648,1902.1544792936625,280078.2774329803,3
Fish Carrier,Critical,15.125084582367794,2947.947521431258,555.2824434815491,54330.75589772232,0
Bulk Carrier,Fair,19.83196420878477,1300.4308920860958,91.43987769488183,127673.05111548693,2
Bulk Carrier,Fair,22.208256774242585,1971.8520566127524,654.2609148454466,33649.22912172243,2
Tanker,Fair,19.69080097867976,2592.1126789578248,1794.5329734861043,261304.75488730668,1
Container Ship,Critical,18.692705129926647,1143.1765276964604,255.2002597590182,108052.29839149473,3
Bulk Carrier,Fair,16.051517954598364,1181.8844752093405,1790.8444031116826,443570.26145174494,2
Container Ship,Fair,23.39345286411203,2356.6644702315066,1788.5736506531564,443939.969916672,3
Fish Carrier,Fair,13.98516793057668,1814.575071175417,1830.5409580807493,161777.12388438988,0
Bulk Carrier,Critical,22.37753499196033,1498.2242002477988,448.89574507517955,71402.34823714229,2
Fish Carrier,Fair,13.878238887304343,1576.4299942461796,1682.6838013481868,424869.2995347076,0
Fish Carrier,Fair,14.22455022776034,2771.7336427510622,1814.090306396688,225119.26390303147,0
Bulk Carrier,Fair,20.58447370339251,2416.663727396357,484.6939340212899,43844.64658986381,2
Bulk Carrier,Fair,20.365352008439796,2390.429471730473,427.8228614651433,307914.33125802776,2
Bulk Carrier,Fair,12.198667376414829,1905.923540772965,398.4511297689188,179325.25263174472,2
Fish Carrier,Fair,17.057276339015786,965.5039339434204,799.4397995969151,126477.55179006701,0
Fish Carrier,Good,17.56722904190777,541.0038658087651,861.2905047987593,204332.8531918268,0
Tanker,Good,15.760966669549957,1201.4830384183915,856.5464086510266,222702.1240067807,1
Tanker,Fair,15.231553146047094,2852.79684743305,591.9723806667616,185573.4434528125,1
Fish Carrier,Fair,21.070377010224107,993.2412977928952,1282.9711275611096,475646.9486445228,0
Fish Carrier,Good,14.811961197305656,2456.0573824766943,1216.5796612008885,408913.5701580705,0
Fish Carrier,Critical,16.81515191534399,777.4764795082066,538.3051463058882,374193.8609823774,0
Fish Carrier,Critical,16.79686531237382,1579.749571399609,539.7920229408744,470657.71437401616,0
Tanker,Good,11.374709256689052,1626.364555649323,691.1239833053621,340804.4122165707,1
Container Ship,Critical,17.45324991334318,683.9205714814493,1671.7865399535674,396863.6767785133,3
Tanker,Fair,19.69462814198343,1247.8495239676215,1520.4666483129483,367330.9455469902,1
Tanker,Good,17.510463664901295,1993.163308633571,947.4361395253824,330946.60254006245,1
Bulk Carrier,Good,14.783174275753254,1514.299318684196,674.906070018818,118388.63602800807,2
Container Ship,Critical,10.21983831371324,1498.6574012427163,885.9491875623754,464464.4994898145,3
Tanker,Good,24.725129351415006,1846.749818711916,372.11934368060327,424284.9029461653,1
Bulk Carrier,Good,13.781828413669976,596.6413069549903,1917.9003564552836,437080.1314804676,2
Fish Carrier,Critical,13.670856963301,2945.464895094357,399.16296274882177,387895.0258997521,0
Container Ship,Good,11.301681685791682,2394.1769766859743,1691.747411185739,345955.11475392897,3
Fish Carrier,Critical,12.967588262261618,2150.503420169304,1891.636104601788,358965.5883456868,0
Bulk Carrier,Critical,20.15348892121304,982.3061521918154,1587.2887042702537,355316.61845881515,2
Bulk Carrier,Good,10.986226432632018,914.8780643547824,810.653818380506,403711.9497953525,2
Container Ship,Critical,10.378250778800108,2554.907468270472,1608.3244577971432,14690.674116986425,3
Bulk Carrier,Critical,17.243855704057125,1952.628128174271,1792.690933645742,321613.9531401281,2
Container Ship,Fair,20.25065813479505,1675.6761804608543,1396.559042650936,368106.1017376337,3
Bulk Carrier,Critical,21.74339869340521,1705.873869404281,1288.7909218668551,179041.48775919696,2
Fish Carrier,Good,10.684151558986784,1035.6880921346278,1728.3178153949502,460969.3306417266,0
Fish Carrier,Good,24.77926288187404,2147.864968116407,1795.798083603243,258587.13636937592,0
Fish Carrier,Fair,15.503459897952409,2077.435603319055,1200.5370840706814,288743.79886003793,0
Fish Carrier,Fair,18.94946001979008,2108.799972373604,1094.4781384176297,25005.54896847147,0
Container Ship,Good,16.19108332449205,2459.2758164808424,262.57617613123284,471660.3820454145,3
Bulk Carrier,Fair,21.02503921026524,1257.289155525698,694.5284325212568,13240.2876658944,2
Container Ship,Critical,12.07026223116,1634.689415097016,492.8714197571959,199738.25231707736,3
Bulk Carrier,Good,11.19882850675562,1059.7293558855706,675.5417220404981,325380.5816299482,2
Tanker,Good,13.744007475761244,1073.470581464996,662.2483158213664,432767.1459634093,1
Bulk Carrier,Fair,24.29276284367992,2272.700031600324,1709.522401383976,169134.74158897658,2
Bulk Carrier,Good,23.7528314560775,1371.088516618736,292.9810764769354,321746.4007086172,2
Tanker,Critical,10.474580921799667,2191.3594295320827,607.9248084010525,328948.94407489727,1
Fish Carrier,Fair,16.850604910552516,1395.3627343517612,1263.673903076918,78523.75328370681,0
Fish Carrier,Fair,10.2164208565073,938.1992470839492,459.04181281317324,319676.73992980144,0
Bulk Carrier,Fair,20.340447317228048,2042.4747495594384,459.1034990251694,175053.7392432307,2
Bulk Carrier,Critical,22.481908599253856,789.4537346040646,664.8326864867371,466491.4315069701,2
Fish Carrier,Fair,18.69034102532366,2073.810169059341,1366.9621738943354,132129.04900958,0
Bulk Carrier,Fair,11.53760140397596,688.6104554479195,1899.9618740131195,390206.5844918546,2
Fish Carrier,Good,10.891352570832195,1084.4695522182203,506.31063522936665,448659.83785501705,0
Fish Carrier,Good,20.92355559445314,695.0024190834631,307.19587548260154,20422.367616697185,0
Container Ship,Fair,19.28948361174409,811.6860694449846,649.8075189179692,103920.72963586939,3
Tanker,Critical,16.78573423581947,2952.954500297278,1279.182555169219,475801.2142028518,1
Container Ship,Fair,21.622870611066983,1504.334721857751,1446.9429616006305,254887.7773177998,3
Fish Carrier,Fair,17.968291025242877,2345.197019965348,1308.6622943599154,352375.5801684507,0
Fish Carrier,Good,12.494722102809314,2503.914073302948,1879.3391109925865,33022.20422888,0
Container Ship,Fair,12.093188472846013,2122.3333566956107,1415.6051653312663,75252.15637152444,3
Fish Carrier,Good,20.20111628582954,732.9763991521111,592.1936136925528,220049.37324901717,0
Bulk Carrier,Good,24.48668650202649,924.0985388697873,1723.939366442349,92445.82616545571,2
Bulk Carrier,Fair,13.551987188840572,982.985466547744,703.7791311067734,441766.6127477348,2
Fish Carrier,Good,16.698247189273815,2303.208670072733,129.21452111545045,144644.4776264749,0
Bulk Carrier,Fair,13.19545736053327,2694.8445914547683,870.3535367178122,408704.753264275,2
Tanker,Good,15.29386419173244,900.712677489599,269.88963173941534,189460.51516168215,1
Tanker,Critical,12.955487640485504,2335.4603327803584,1739.2067274867577,363689.9972251442,1
Tanker,Fair,15.02204205831488,2183.801182845863,1429.61218409809,85402.19006199378,1
Tanker,Fair,10.150745232637576,2044.54690942994,1606.8018416580658,327454.6603635017,1
Bulk Carrier,Good,17.07068792763293,1304.6907400681157,1528.378321988871,495353.25693586114,2
Tanker,Critical,21.100191551550036,2606.7176114815807,1106.7031004320747,33202.767052701325,1
Bulk Carrier,Good,24.265336934776823,1343.8706435746617,969.8208180943544,88524.68816488452,2
Bulk Carrier,Critical,15.541965485341784,2687.42068360068,1979.1784926064324,76025.37850833463,2
Container Ship,Good,18.62797859373593,1282.718220133013,1084.0039364307545,251175.4665669587,3
Fish Carrier,Good,24.910178924963184,2357.817763025247,164.76103073464083,225447.83868831943,0
Container Ship,Critical,11.270104727304613,2188.004138299842,498.7858305793545,306624.4112367139,3
Tanker,Good,10.11936583747636,1214.16334991037,1646.3333079322076,294479.6684913077,1
Tanker,Fair,20.07303762084406,1662.124739995639,438.9654973746394,123515.72833510826,1
Bulk Carrier,Fair,11.812572729359408,2278.6125978563136,713.9058084520253,41656.88307376456,2
Tanker,Fair,14.80961302596996,566.8925722739136,1733.7289269361213,422001.9837196661,1
Tanker,Critical,23.607481024210472,2039.0007194295335,559.635736719619,129816.07686292818,1
Bulk Carrier,Good,23.92747779597813,2392.260991021834,1504.6907728046317,418851.4032918199,2
Fish Carrier,Critical,12.152866183042669,2764.89541727999,878.8099274902,292986.0439215442,0
Container Ship,Good,12.72062948112018,2410.482151995237,1790.779372887416,310096.9922108923,3
Container Ship,Fair,16.302084394831436,2268.05618067998,1879.1452831524148,112569.00821835257,3
Tanker,Fair,23.787139308000057,1252.3858701780548,79.95411411027783,479594.80963475537,1
Bulk Carrier,Fair,16.368938715875952,699.8534762079162,837.7920876637886,411408.4861324916,2
Fish Carrier,Good,18.29806981336983,2334.3637418947874,449.36676961675835,255183.8428274272,0
Fish Carrier,Good,14.330959242722116,990.7570677695122,300.15451845385746,76779.36483188695,0
Fish Carrier,Critical,17.602704198405142,1682.381395893384,679.7156038423907,135850.53547412177,0
Container Ship,Critical,14.3793791492151,1197.6768936408012,326.0701400242684,228071.17284264797,3
Fish Carrier,Fair,20.53148040565392,2318.9712302697003,1354.2503419177135,385445.9055591065,0
Tanker,Good,16.385582669831436,2427.32432652767,748.2389327242093,10092.306317929499,1
Fish Carrier,Fair,14.326195978315324,674.1713001649459,1772.0420884933803,192714.97999877375,0
Container Ship,Good,18.897422852482805,1848.2761081191727,1226.1371457971818,168302.98674561063,3
Bulk Carrier,Fair,24.980462869321705,2983.2367874324977,1805.6716812319603,48178.43724739566,2
Fish Carrier,Critical,21.8574845395838,1946.8076544086805,1090.7623735792442,181717.60179110128,0
Tanker,Fair,14.29103810281928,1863.7275264222264,1980.6349730732295,423972.8561345396,1
Container Ship,Good,10.860647774992504,1421.5042497797203,1975.6475326786767,121596.14684069224,3
Bulk Carrier,Fair,19.66444588238155,1751.8945521122068,1760.4741773039043,273023.9238185972,2
Fish Carrier,Critical,15.399041755524811,866.0199077666603,1560.2054245015972,369230.4642663295,0
Container Ship,Critical,22.30825582841535,2371.532845887481,1487.7634942789834,208293.9572603689,3
Tanker,Good,19.83611094887069,1805.189532618296,1289.791456607272,323979.86805432366,1
Container Ship,Good,21.751915629934174,1505.552276772666,1060.5611993874222,164246.47619682585,3
Tanker,Good,16.10622628149189,800.3541305494507,1535.8180100189616,91075.47028051651,1
Tanker,Fair,14.77773823621889,1133.805316446034,907.3789359790984,138795.51084622403,1
Container Ship,Critical,17.58910464375077,1475.0231982243122,301.85945627482306,309917.7022973637,3
